;;;;;;;;;
Scenario ID;Case ID;Test Scenario;Type ;Test Case ;Pre Condition ;Steps Description ;Expected Result ;Stasus ;
TS.001;TC.001.001;Pengujian Login Pengguna ;Positif ;Input username yang valid ;Mengakses website POG ;1. Mengakses website POG ;Berhasil masuk dan diarahkan ke halaman dasboard ;Pass;
;;;;;;2. Memasukan username dan password ;;;
;;;;;;3. Tekan Tombol Masuk ;;;
TS.001;TC.001.002;Pengujian Login Pengguna;Negatif;Input username yang tidak valid ;Mengakses website POG ;1. Mengakses website POG ;Tidak berhasil masuk dan diminta untuk memasukkan ulang  username yang valid ;Pass;
;;;;;;2. Memasukan username yang tidak valid dan password ;;;
;;;;;;3. Tekan Tombol Masuk ;;;
TS.001;TC.001.003;Pengujian Login Pengguna ;Positif ;Input password yang valid ;Mengakses website POG ;1. Mengakses website POG ;Berhasil masuk dan diarahkan ke halaman dasboard ;Pass;
;;;;;;2. Memasukan username dan password ;;;
;;;;;;3. Tekan Tombol Masuk ;;;
TS.001;TC.001.004;Pengujian Login Pengguna;Negatif;Input password yang tidak valid ;Mengakses website POG ;1. Mengakses website POG ;Tidak berhasil masuk dan diminta untuk memasukkan ulang  password yang valid ;Pass;
;;;;;;2. Memasukan username dan password yang tidak valid;;;
;;;;;;3. Tekan Tombol Masuk ;;;
;;;;;;;;;
TS.002;TC.002.001;Pengujian Pengisian Jumlah Pesanan;Negatif ;Input jumlah pesanan lebih dari jumlah stok;Mengakses halaman detail produk;1. Mengakses website POG ;Diminta untuk menambahkan sesuai dengan jumlah stok yang tersedia dan Tidak berhasil menambahkan produk ke dalam keranjang ;Pass;
;;;;;;2. Memilih produk yang ingin dipesan ;;;
;;;;;;3. Masukan jumlah pesanan yang ingin dipesan;;;
;;;;;;4. Tekan tombol tambahkan ke keranjang ;;;
TS.003;TC.003.001;Pengujian Pengisian Kolom Nomor Telepon ;Negatif ;Input kolom nomor telepon dengan huruf ;Mengakses halaman checkout ;1. Mengakses website POG ;Diminta untuk menginputkan kembali dengan format angka dan Tidak berhasil menambahkan produk ke dalam keranjang ;;
;;;;;;2. Mengakses halaman checkout ;;;
;;;;;;3. Memasukan informasi tentang pengeriman ;;;
;;;;;;4. Tekan tombol checkout ;;;
TS.003;TC.003.002;Pengujian Pengisian Kolom Nomor Telepon ;Negatif ;Input kolom nomor telepon dengan lebih dari  12 angka ;Mengakses halaman checkout ;1. Mengakses website POG ;Diminta untuk menginputkan kembali dengan batas hingga 12 angka saja dan Tidak berhasil menambahkan produk ke dalam keranjang ;Fail ;
;;;;;;2. Mengakses halaman checkout ;;;
;;;;;;3. Memasukan informasi tentang pengeriman ;;;
;;;;;;4. Tekan tombol checkout ;;;
TS.004;TC.004.001;Pengujian Pengisian Kolom Stok ;Negatif ;Input kolom stok dengan 30 angka;Mengkases halaman tambah produk ;1. Mengakses website POG ;Diminta untuk mengisikan dengan stok dengan batas yang benar dan Tidak berhasil menambahkan produk baru  ke dalam keranjang ;Pass;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman tambah produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.004;TC.004.002;Pengujian Pengisian Kolom Harga ;Negatif ;Input kolom harga dengan 30 angka ;Mengkases halaman tambah produk ;1. Mengakses website POG ;Diminta untuk mengisikan harga sesuai dengan batas yang benar dan Tidak berhasil menambahkan produk baru  ;Pass;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman tambah produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.004;TC.004.003;Pengujian Pengisian Kolom Harga ;Negatif ;Input kolom harga dengan huruf ;Mengkases halaman tambah produk ;1. Mengakses website POG ;Diminta untuk mengisikan dengan angka dan Tidak berhasil menambahkan produk baru  ;Pass;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman tambah produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.004;TC.004.004;Pengujian Pengisian Kolom Stok ;Negatif ;Input kolom stok dengan huruf;Mengkases halaman tambah produk ;1. Mengakses website POG ;Diminta untuk mengisikan dengan angka dan Tidak berhasil menambahkan produk baru  ;Pass;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman tambah produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.004;TC.004.005;Pengujian Kolom Penambahan Gambar Produk ;Positif ;Input kolom gambar produk sesuai dengan ketentuan ;Mengkases halaman tambah produk ;1. Mengakses website POG ;Berhasil menambahkan gambar dan produk berhasil ditambahkan ;Fail ;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman tambah produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.005;TC.005.001;Pengujian Pengisian Kolom Stok ;Negatif ;Input kolom stok dengan 30 angka;Mengkases halaman edit produk ;1. Mengakses website POG ;Diminta untuk mengisikan dengan stok dengan batas yang benar dan Tidak berhasil menambahkan produk baru  ke dalam keranjang ;Pass;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman edit produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.005;TC.005.002;Pengujian Pengisian Kolom Harga ;Negatif ;Input kolom harga dengan 30 angka ;Mengkases halaman edit produk ;1. Mengakses website POG ;Diminta untuk mengisikan harga sesuai dengan batas yang benar dan Tidak berhasil menambahkan produk baru  ;Pass;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman edit produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.005;TC.005.003;Pengujian Pengisian Kolom Harga ;Negatif ;Input kolom harga dengan huruf ;Mengkases halaman edit produk ;1. Mengakses website POG ;Diminta untuk mengisikan dengan angka dan Tidak berhasil menambahkan produk baru  ;Pass;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman edit produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.005;TC.005.004;Pengujian Pengisian Kolom Stok ;Negatif ;Input kolom stok dengan huruf;Mengkases halaman edit produk ;1. Mengakses website POG ;Diminta untuk mengisikan dengan angka dan Tidak berhasil menambahkan produk baru  ;Pass;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman edit produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.005;TC.005.005;Pengujian Kolom Penambahan Gambar Produk ;Positif ;Input kolom gambar produk sesuai dengan ketentuan ;Mengkases halaman edit produk ;1. Mengakses website POG ;Berhasil menambahkan gambar dan produk berhasil ditambahkan ;Fail ;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman edit produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.006;TC.006.001;Pengujian Pengisian Kolom Nomor Telepon ;Negatif ;Input kolom nomor telepon dengan huruf ;Mengakses halaman edit informasi toko;1. Mengakses website POG ;Tidak berhasil mengubah informasi toko ;Fail ;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman edit informasi toko;;;
;;;;;;4. Memasukan informasi tentang toko;;;
