Scenario ID;Case ID;Test Scenario;Type;Test Case;Pre Condition;Steps Description;Expected Result;Status
TS.001;TC.001.001;Pengujian Login Multi-Role;Positif;Login sebagai Direktur dengan kredensial valid;Mengakses halaman login sistem POS;1. Mengakses halaman login;Berhasil login dan diarahkan ke dashboard direktur;Pass
;;;;;;2. Pilih role "Direktur";;;
;;;;;;3. Masukkan email dan password valid;;;
;;;;;;4. Klik tombol "Masuk";;;
TS.001;TC.001.002;Pengujian Login Multi-Role;Positif;Login sebagai Manajer dengan kredensial valid;Mengakses halaman login sistem POS;1. Mengakses halaman login;Berhasil login dan diarahkan ke dashboard manajer;Pass
;;;;;;2. Pilih role "Manajer";;;
;;;;;;3. Masukkan email dan password valid;;;
;;;;;;4. Klik tombol "Masuk";;;
TS.001;TC.001.003;Pengujian Login Multi-Role;Positif;Login sebagai Pegawai dengan kredensial valid;Mengakses halaman login sistem POS;1. Mengakses halaman login;Berhasil login dan diarahkan ke dashboard pegawai;Pass
;;;;;;2. Pilih role "Pegawai";;;
;;;;;;3. Masukkan email dan password valid;;;
;;;;;;4. Klik tombol "Masuk";;;
TS.001;TC.001.004;Pengujian Login Multi-Role;Negatif;Login dengan email tidak valid;Mengakses halaman login sistem POS;1. Mengakses halaman login;Gagal login dengan pesan error "Email tidak valid";Pass
;;;;;;2. Pilih role apapun;;;
;;;;;;3. Masukkan email tidak valid;;;
;;;;;;4. Klik tombol "Masuk";;;
TS.001;TC.001.005;Pengujian Login Multi-Role;Negatif;Login dengan password salah;Mengakses halaman login sistem POS;1. Mengakses halaman login;Gagal login dengan pesan error "Password salah";Pass
;;;;;;2. Pilih role apapun;;;
;;;;;;3. Masukkan email valid dan password salah;;;
;;;;;;4. Klik tombol "Masuk";;;
TS.001;TC.001.006;Pengujian Login Multi-Role;Negatif;Login dengan role tidak sesuai;Mengakses halaman login sistem POS;1. Mengakses halaman login;Gagal login dengan pesan error "Role tidak sesuai";Pass
;;;;;;2. Pilih role "Direktur";;;
;;;;;;3. Masukkan kredensial user dengan role "Pegawai";;;
;;;;;;4. Klik tombol "Masuk";;;
TS.001;TC.001.007;Pengujian Login Multi-Role;Negatif;Login dengan akun tidak aktif;Mengakses halaman login sistem POS;1. Mengakses halaman login;Gagal login dengan pesan error "Akun tidak aktif";Pass
;;;;;;2. Pilih role sesuai;;;
;;;;;;3. Masukkan kredensial user dengan is_active = false;;;
;;;;;;4. Klik tombol "Masuk";;;
TS.002;TC.002.001;Pengujian Manajemen Produk;Positif;Tambah produk dengan data valid;Login sebagai Manajer;1. Akses menu "Kelola Produk";Produk berhasil ditambahkan ke sistem;Pass
